Comments,Date,Disposition,Location,Occured,Reported,UCPDI,Outcome
Firearm taken from a patient and stored at UCM was handed over to UCPD for safekeeping,Information,Closed,5656 S. Maryland (UCMED),2019-06-07,3/3/19 10:45 AM,19-00235,closed
UCPD officer recovered a vehicle taken in a robbery in another area of the city / Notified by in-car LPR / Turned over to CPD / CPD case JB244764,Information,CPD,5505 S. Ellis (Parking Structure),2019-03-03,3/3/19 12:02 PM,19-00236,cpd
An unauthorized subject was warned about trespass to a UC building,Trespass,Closed,5739 S. Woodlawn (McGiffert House),2019-03-03,3/3/19 8:18 PM,19-00237,closed
"During an argument, a cyclist intentionally struck the door of a vehicle with his bicycle causing slight damage / Motorist declined prosecution",Damage to Property,Ex. Cleared,5200 S. Harper,2019-03-04,3/4/19 7:15 AM,19-00238,cleared
A person reports losing a computer bag in the hospital,Lost Property,Closed,5700 S. Maryland (CCD),2019-02-20,3/4/19 7:48 AM,19-00239,closed
A staff member found a recording device in a classroom,Information,Open,1025 E. 58th St. (Swift Hall),2019-03-04,3/4/19 10:19 AM,19-00240,open
Daughter reported ailing mother missing / The missing person was later located outside of the UCPD patrol area and returned home to her family,Missing Person,Closed,1411 E. 53rd St. (Public Way),2019-03-04,3/4/19 2:24 PM,19-00241,closed
"Unknown person forced entry to locker in staff locker room and took a purse / Suspect identified, but victim declined prosecution",Theft,Ex. Cleared,5700 S. Maryland (CCD),2019-03-04,3/4/19 2:54 PM,19-00242,cleared
Suspect took cash from the pocket of pants left unattended during gym class / Suspect identified via surveillance camera / Money returned to victim / Prosecution declined / Referred to school administrators,Theft,Ex. Cleared,6300 S. University (Woodlawn Charter School),2019-03-04,3/4/19 11:23 AM,19-00243,cleared
Secured bicycle taken from bike rack,Theft,Open,5807 S. Woodlawn (Booth School Bike Rack),2019-03-01,3/5/19 11:08 AM,19-00244,open
Report of graffiti applied to the rear porch of a private off campus building,Information,Closed,Ingleside between 51st & 52nd,2019-03-01,3/5/19 11:23 AM,19-00245,closed
Information regarding individuals involved in physical altercations / To be adjudicated by school administrators,Information,Referred,6300 S. University (Woodlawn Charter School),2019-02-25,3/5/19 12:45 PM,19-00246,referred
"DSS was notified by a Campus Security Authority that an undisclosed victim reported she was sexually assaulted by a known person / Due to confidentiality of reporting, limited information is available regarding this incident.",Assault,No Investigation Referred to Title IX Coordinator,6031 S. Ellis (Granville-Grossman RH),2019-02-16,3/5/19 11:17 AM,CSA Report    19-012,referred
Staff member found a small bag of marijuana in patient's belongings / Turned over to UCPD for proper disposal,Found Property,Closed,5656 S. Maryland (UCMED),2019-03-06,3/6/19 4:23 AM,19-00247,closed
"Sprinkler head broken in basement, water on the floor / No fire / CFD responded",Fire,Closed,5700 S. Stony Island (Stony Island RH),2019-03-06,3/6/19 12:22 PM,19-00248,closed
Vehicle taken from UC parking lot / Unoccupied vehicle later recovered at 52nd & Dorchester / Owner forgot where he parked the vehicle and later found the car parked near his residence,Theft,Unfounded,6000 S. Stony Island (Parking Lot),2019-03-03,3/6/19 12:36 PM,19-00249,unfounded
Unknown person entered parked vehicle and took a GPS device and cash,Theft,Open,5505 S. Ellis (Parking Structure),2019-03-05,3/6/19 2:14 PM,19-00250,open
An individual found a wallet and turned it over to UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ,2019-03-07,3/7/19 11:00 AM,19-00251,closed
UCPD officer arrested a subject for possession of narcotics paraphernalia,Possession of Narcotics,Arrest,860 E. 59th St. (Goldblatt),2019-03-07,3/7/19 11:44 AM,19-00252,arrested
Unknown suspect took wallet from purse hung on the back of victim's chair / Subsequent unauthorized use of credit cards reported,Theft,Open,5700 S. Drexel (Starbucks),2019-03-07,3/7/19 2:19 PM,19-00253,open
Three unknown suspects forcibly took iPhone from a victim walking on the sidewalk off campus before fleeing on foot / CPD case JC177293,Information,CPD,4900 S. Kimbark (Public Way),2019-03-07,3/7/19 7:48 PM,19-00254,cpd
"Unsecured, unattended earrings taken from patient's room",Theft,Open,5721 S. Maryland (Comer Hospital),2019-02-28,3/8/19 10:45 AM,19-00255,open
Individual slipped in stairwell striking their left knee,Injury,Closed,850 E. 61st St. (UCPD HQ),2019-03-07,3/8/19 11:11 AM,19-00256,closed
Cash was taken from unsecured wallet in patient's room,Theft,Open,5815 S. Maryland (Mitchell Hospital),2019-03-07,3/8/19 11:15 AM,19-00257,open
A subject threatened a UCPD officer with bodily harm / Subject arrested and charged with assault,Assault,Arrest,6300 S. Woodlawn (Public Way),2019-03-08,3/8/19 4:18 PM,19-00258,arrested
Plate glass window shattered with a brick / CPD case,Information,CPD,301 E. Garfield (UC Art Incubator),2010-03-09,3/9/19 6:48 AM,19-00259,cpd
"During the course of a domestic argument, boyfriend choked girlfriend with his hands / Suspect fled prior to notification of UCPD / Subsequent to investigation the victim declined to prosecute the suspect",Battery,Ex. Cleared,5815 S. Maryland (Mitchell Hospital),2019-03-10,3/10/19 12:16 AM,19-00260,cleared
Individuals report cyberstalking by a known person / Prosecution declined by State's Attorney's Office,Stalking,Ex. Cleared,5801 S. Ellis (Levi Hall),2019-03-08,3/11/19 8:08 AM,19-00261,cleared
Cell phone found on a UC Shuttle bus turned over to UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),2019-03-11,3/11/19 6:36 PM,19-00262,closed
Husband and wife involved in a physical disturbance off campus / Victim declined to prosecute,Battery,Ex. Cleared,5429 S. Harper,2019-03-12,3/12/19 12:35 PM,19-00263,cleared
Disturbance in clinic / Peace restored,Information,Closed,800 E. 55th St. (Friend Center),2019-03-12,3/12/19 4:34 PM,19-00264,closed
UCPD officer arrested a motorist wanted on a warrant by Cook County Sheriff's Office,Arrest,Arrest,1501 E. 53rd St. (Public Way),2019-03-12,3/12/19 6:38 PM,19-00265,arrested
Wallet stolen / Unauthorized use of credit cards reported,Theft,Open,5700 S. Maryland (CCD),2019-03-12,3/13/19 1:33 AM,19-00266,open
iPad taken from desk top in secured office / iPad later found in desk drawer,Theft,Unfounded,5823 S. Kenwood (Lab School),2019-03-12,3/13/19 9:28 AM,19-00267,unfounded
Unauthorized individual ignored previous oral and written notification of trespass was arrested by UCPD officers,Trespass,Arrest,5706 S. University (Reynolds Club),2019-03-13,3/13/19 12:20 PM,19-00268,arrested
Unknown suspect entered off campus private apartment via an unsecured window and took currency / CPD case JC183961,Information,CPD,Greenwood between 53rd & 54th,2019-03-13,3/13/19 1:31 PM,19-00269,cpd
UCPD officer observed several individuals involved in a physical altercation on the sidewalk off campus /  All suspects fled on foot,Battery,Open,840 E. 63rd St. (Public Way),2019-03-13,3/13/19 5:40 PM,19-00270,open
Wallet and cell phone were taken from a jacket placed in a locker in men's locker room,Burglary,Open,5700 S. Maryland (CCD),2019-03-13,3/14/19 11:47 AM,19-00271,open
"A beaker of acidic acid broke spilling contents / CFD, Facilities, Safety on the scene for clean up / No injuries or property damage reported",Haz Mat Incident,Closed,929 E. 57th St. (Gordon Center),2019-03-14,3/14/19 1:46 PM,19-00272,closed
CPD officer found 2 UC owned radios in possession of a tow truck driver / Radios returned to UC Facilities / CPD charged suspect with theft / CPD case JC185206,Theft,CPD,850 E. 61st St. (UCPD HQ),2019-03-14,3/14/19 4:03 PM,19-00273,cpd
Staff member found a small bag of suspect narcotics / Contraband turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland                 (CCD),2019-03-15,3/15/19 8:04 AM,19-00274,closed
"Unknown suspect asked victim for money, grabbed victim's wallet, took cash and fled / CPD case JC186163",Information,CPD,Harper between 55th & 56th,2019-03-15,3/15/19 8:58 AM,19-00275,cpd
Disturbance with motorist parked in the crosswalk,Information,Closed,5700 S. Ellis (Public Way),2019-03-15,3/15/19 9:27 AM,19-00276,closed
Secured bicycle taken from bike rack,Theft,Open,1126 E. 59th St. (SSR Bike Rack),2019-03-15,3/15/19 1:11 PM,19-00277,open
Unauthorized subject ignored repeated oral and written trespass warnings was arrested by UCPD officer,Trespass,Arrest,5706 S. University (Reynolds Club),2019-03-15,3/15/19 8:18 PM,19-00278,arrested
Unattended bag taken from room,Theft,Open,969 E. 60th St. (SSA),2019-03-16,3/16/19 11:30 AM,19-00279,open
wallet taken from unsecured locker,Theft,Open,5530 S. Ellis (Ratner A.C.),2019-03-17,3/17/19 6:36 PM,19-00280,open
Secured bicycle taken from bike rack,Theft,Open,5730 S. Ellis (Crerar Library Bike Rack),2019-03-15,3/17/19 7:24 PM,19-00281,open
UCPD officer arrested a motorist for DUI,DUI,Arrest,5113 S. Cottage Grove,2019-03-17,3/17/19 8:48 PM,19-00282,arrested
Sick person transported to UCMED by CFD EMS for evaluation and treatment,Medical,Closed,1025 E. 58th St. (Bond Chapel),2019-03-18,3/18/19 8:12 AM,19-00283,closed
Three subjects were involved in a physical altercation on the sidewalk off campus / Peace restored / Prosecution declined,Battery,Ex. Cleared,1100 E. 53rd St. (Public Way),2019-03-18,3/18/19 11:24 AM,19-00284,cleared
Containers of chloral hydrate turned over to UCPD for proper disposal,Information,Closed,929 E. 58th St. (Gordon Center),2019-03-18,3/18/19 2:54 PM,19-00285,closed
Items of personal property found at the rear of address turned over to UCPD for safekeeping,Information,Closed,5654 S. University,2019-03-18,3/18/19 9:11 PM,19-00286,closed
Unknown suspect(s) gained unlawful entry to private residence and took property,Burglary,Open,Woodlawn between 57th & 58th,2019-03-19,3/19/19 12:30 AM,19-00287,open
"Suspect unlawfully entered room and took victim's property / Suspect apprehended, property returned / Victim refused to prosecute",Theft,Ex. Cleared,5700 S. Maryland (CCD),2019-03-19,3/19/19 2:16 AM,19-00288,cleared
Information relating to writing on walls within the building,Information,Closed,915 E. 60th St. (Logan Center),2019-03-15,3/19/19 4:33 PM,19-00289,closed
"During the course of an argument, brother struck sister / Victim refused to prosecute",Battery,Ex. Cleared,5721 S. Maryland (Comer ER),2019-03-19,3/19/19 6:37 PM,19-00290,cleared
Bottle of wine taken from unsecured office,Theft,Open,1126 E. 59th St. (SSR),2019-03-19,3/20/19 8:26 AM,19-00291,open
Unsecured handbag taken from employee locker room,Theft,Open,5700 S. Maryland (CCD),2019-03-20,3/20/19 2:20 PM,19-00292,open
An unauthorized individual was given oral and written notice not to trespass on UC property,Information,Closed,5505 S. Ellis (Parking Structure),2019-03-20,3/20/19 2:16 PM,19-00293,closed
An unauthorized individual was given oral and written notice not to trespass on UC property,Information,Closed,1130 E. 59th St. (Foster Hall),2019-03-20,3/20/19 3:57 PM,19-00294,closed
A UC owned vehicle was damaged in a traffic crash / No injuries reported,Traffic Incident,Closed,5505 S. Ellis (Parking Structure),2019-03-20,3/20/19 4:08 PM,19-00295,closed
Credit card taken from jacket in unsecured locker in employee locker room,Theft,Open,5700 S. Maryland (CCD),2019-03-20,3/20/19 5:56 PM,19-00296,open
Boyfriend and girlfriend involved in a physical altercation / Both parties refused to prosecute / Peace restored,Battery,Ex. Cleared,800 E. 55th St. (Friend Center),2019-03-20,3/20/19 7:33 PM,19-00297,cleared
Unauthorized person ignored previous warnings and was arrested for criminal trespass to UC property,Trespass,Arrest,5739 S. Woodlawn (McGiffert House),2019-03-20,3/20/19 11:11 PM,19-00298,arrested
Staff member reports losing a ring,Lost Property,Closed,5700 S. Maryland (CCD),2019-03-21,3/21/19 9:35 AM,19-00299,closed
Coat taken from coat rack in cubicle,Theft,Open,5757 S. University (Saieh Hall),2019-03-21,3/21/19 1:17 PM,19-00300,open
Staff member reported lost passport,Lost Property,Closed,5656 S. Maryland (UCMED),2019-03-14,3/22/19 6:44 AM,19-00301,closed
Unauthorized subject unlawfully entered employee locker room and took property / Arrested by UCPD,Burglary,Arrest,5700 S. Maryland (CCD),2019-03-10,3/22/19 9:59 AM,19-00302,arrested
Subject unlawfully entered off campus private apartment and took property / CPD case JC195285,Information,CPD,Drexel between 52nd & 53rd,2019-03-22,3/22/19 11:22 AM,19-00303,cpd
TV was taken from an office / Suspect arrested by UCPD officers on 4/2/19 / Charged with burglary,Burglary,Arrest,5730 S. Ellis (Crerar Library),2019-03-21,3/22/19 2:30 PM,19-00304,arrested
An individual was transported to UCMED for evaluation,Mental Health,Closed,1346 E. 53rd St.,2019-03-22,3/22/19 2:27 PM,19-00305,closed
A purse was found in the lower level and inventoried for safekeeping at UCPD HQ,Found Property,Closed,5505 S. Ellis (Parking Structure),2019-03-22,3/22/19 2:25 PM,19-00306,closed
Book bag taken from stroller in bookstore,Theft,Open,5751 S. Woodlawn (Bookstore),2019-03-23,3/23/19 4:16 PM,19-00307,open
Unknown person(s) discharged a firearm / Bullet broke a window in an off campus private apartment building / No injuries reported / CPD case JC197022,Information,CPD,Kenwood at 62nd,2019-03-23,3/23/19 6:24 PM,19-00308,cpd
Unknown person(s) shattered car window and took 2 bags and a suitcase from vehicle,Theft,Open,5840 S. Maryland (Parking Structure),2019-03-24,3/24/19 11:05 AM,19-00309,open
Unknown person(s) shattered car window and took a gym bag from vehicle,Theft,Open,5840 S. Maryland (Parking Structure),2019-03-24,3/24/19 3:38 PM,19-00310,open
Unknown person(s) shattered car window and took a gym bag from vehicle,Theft,Open,5840 S. Maryland (Parking Structure),2019-03-24,3/24/19 4:09 PM,19-00311,open
A wallet and passport found by a citizen were turned over to CPD when it was determined the items were taken in a crime from outside of the UCPD area,Information,Closed,1111 E. 61st St. (Public Way),2019-03-25,3/25/19 7:27 AM,19-00312,closed
Cash taken from wallet left in unattended coat hanging in office,Theft,Open,860 E. 59th St. (Billings Hospital),2019-03-21,3/25/19 8:30 AM,19-00313,open
Staff member found marijuana in patient's room / Turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2019-03-26,3/26/19 2:46 AM,19-00314,closed
Number generated in error,Void,Void,Void,NA,Void,19-00315,void
An unauthorized subject ignored previous warnings and was arrested by UCPD for trespass,Trespass,Arrest,5505 S. Ellis (Parking Structure),2019-03-26,3/26/19 6:13 PM,19-00316,arrested
Individual received harassing text messages from an acquaintance,Harassment,Open,1307 E. 60th St. (Keller Center),2019-03-28,3/28/19 3:44 AM,19-00317,open
"Unknown suspect, armed with a knife, took headphones from a victim walking on the sidewalk off campus / CPD case JC202426",Information,CPD,1601 E. 53rd St. (Public Way),2019-03-28,3/28/19 7:25 AM,19-00318,cpd
Unknown person(s) applied 28 stickers to interior walls of the building,Damage to Property,Open,915 E. 60th St. (Logan Center),2019-03-27,3/28/19 8:54 AM,19-00319,open
"Unknown suspect, armed with a knife, attempted to take property from a victim / Victim suffered a knife wound to the head during scuffle / CPD case JC202483",Information,CPD,5308 S. Hyde Park (Alley),2019-03-28,3/28/19 7:17 AM,19-00320,cpd
Unknown suspect(s) unlawfully entered construction site and took copper pipe and construction tools,Burglary,Open,1156 E. 61st St. (Construction Site),2019-03-28,3/28/19 10:10 AM,19-00321,open
Two unattended and unsecured backpacks taken from unlocked room,Theft,Open,5730 S. Ellis (Crerar Library),2019-03-28,3/28/19 11:14 AM,19-00322,open
"Subsequent to an argument, suspect dented hood and trunk of victim's car / Arrested by UCPD officer",Damage to Property,Arrest,4702 S. Woodlawn,2019-03-28,3/28/19 11:16 AM,19-00323,arrested
Two subjects battered two acquainted victims / Suspects arrested by UCPD officers,Battery,Arrest,5730 S. Drexel (Comer Hospital),2019-03-28,3/28/19 1:38 PM,19-00324,arrested
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,Various locations on campus,NA,3/28/19 3:13 PM,CSA Report    19-013,referred
Unknown suspect spit on staff member and fled before police were notified,Battery,Open,5700 S. Maryland (CCD),2019-03-28,3/28/19 6:45 PM,19-00325,open
Sick person transported to UCMED for treatment,Medical,Closed,1414 E. 59th St. (I-House),2019-03-28,3/28/19 8:02 PM,19-00326,closed
Unknown person(s) smashed window of parked car and took cash,Theft,Open,5700 S. Drexel (Public Way),2019-03-28,3/29/19 12:54 AM,19-00327,open
Sister slapped sister during an argument / CPD case JC203883,Information,CPD,5493 S. Cornell (Public Way),2019-03-29,3/29/19 9:44 AM,19-00328,cpd
Individual's foot caught in entrance door / Transported to UCMED by CFD EMS for treatment,Injury,Closed,5530 S. Ellis (Ratner A.C.),2019-03-29,3/29/19 12:57 PM,19-00329,closed
UCPD officer arrested a motorist for DUI,DUI,Arrest,5515 S. Cottage Grove,2019-03-29,3/29/19 8:21 PM,19-00330,arrested
Girlfriend struck boyfriend during the course of an argument / Victim declined prosecution,Battery,Ex. Cleared,5730 S. Drexel (Comer Hospital),2019-03-29,3/29/19 8:44 PM,19-00331,cleared
Boyfriend struck girlfriend during the course of an argument / Suspect arrested by UCPD officer,Battery,Arrest,5721 S. Maryland (Comer Hospital),2019-03-29,3/29/19 11:09 PM,19-00332,arrested
Resident of off campus private apartment was confronted by an unknown suspect armed with a Taser / Suspect took iPad and other property before fleeing via rear door / CPD case JC205397,Information,CPD,Woodlawn between 54th & 55th,2019-03-30,3/30/19 12:50 PM,19-00333,cpd
Individual reports losing backpack,Lost Property,Closed,Ingleside between 60th & 61st,2019-03-23,3/30/19 7:17 PM,19-00334,closed
Individual reports losing iPad while in the building,Lost Property,Closed,915 E. 60th St. (Logan Center),2019-03-23,3/31/19 4:20 PM,19-00335,closed
Wallet found in alley and turned over to UCPD for safekeeping,Found Property,Closed,5312 S. Hyde Park,2019-03-31,3/31/19 1:44 PM,19-00336,closed
"Unattended, unsecured book bag taken / Suspect arrested by UCPD on 4/2/19 and charged with burglary",Burglary,Arrest,5730 S. Ellis (Crerar Library),2019-03-31,3/31/19 4:23 PM,19-00337,arrested
UCPD officer arrested a motorist for DUI,DUI,Arrest,6117 S. Kimbark,2019-03-31,3/31/19 6:28 PM,19-00338,arrested
Truck backed into a concrete bollard / No injuries reported / MVA 2019-00070,Traffic Incident,Closed,5811 S. Kenwood,2019-03-31,3/31/19 6:34 PM,19-00339,closed
Victim suffered a gunshot wound to the right arm off campus / CPD case JC207034,Information,CPD,62nd St. Between Cottage Grove and Drexel (Public Way),2019-03-31,3/31/19 9:57 PM,19-00340,cpd
Envelope containing cash and receipts taken from desk drawer in unsecured office,Theft,Open,800 E. 55th St. (Friend Center),2019-04-01,4/1/19 7:43 AM,19-00341,open
Reading glasses and earphones taken from desk drawer in unsecured office,Theft,Open,5758 S. Maryland (DCAM),2019-03-29,4/1/19 8:30 AM,19-00342,open
Report re. harassing email messages,Information,Closed,5751 S. Woodlawn (Co-op Bookstore),2018-09-26,4/1/19 9:33 AM,19-00343,closed
HP printer taken from work station / Suspect arrested by UCPD on 4/2/19 and charged with burglary,Burglary,Arrest,5730 S. Ellis (Crerar Library),2019-03-29,4/1/19 10:04 AM,19-00344,arrested
An individual struck another person in the face with a fist / Arrested by UCPD officers,Battery,Arrest,6300 S. University (Woodlawn Charter School),2019-04-01,4/1/19 12:02 PM,19-00345,arrested
iPhone found on UC Shuttle bus turned over to UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),2019-04-01,4/1/19 2:42 PM,19-00346,closed
An individual ignored previous warnings and trespassed on private property off campus / Arrested by UCPD,Trespass,Arrest,6300 S. Woodlawn (Coffee Shop),2019-04-02,4/2/19 8:24 AM,19-00347,arrested
"Individual tripped on curb, fell and struck his head on the pavement / Declined medical attention",Medical,Closed,5758 S. Maryland (Public Way),2019-04-02,4/2/19 11:07 AM,19-00348,closed
Student left school without permission,Information,Closed,6300 S. University (Woodlawn Charter School),2019-04-02,4/2/19 11:44 AM,19-00349,closed
Number generated in error,Void,Void,Void,NA,Void,19-00350,void
Graffiti scrawled on exterior doors and courtyard,Damage to Property,Open,5500 S. University (Campus North RH),2019-04-02,4/2/19 6:18 PM,19-00351,open
Unauthorized subject ignored previous warnings and was arrested by UCPD for Trespass / Also charged with two arrest warrants,Trespass,Arrest,1116 E. 59th St.,2019-04-03,4/3/19 9:02 AM,19-00352,arrested
Sick person transported to UCMED by CFD EMS for evaluation and treatment,Medical,Closed,5828 S. University  (Pick Hall),2019-04-03,4/3/19 1:13 PM,19-00353,closed
Wristwatch found on the sidewalk turned over to UCPD for safekeeping,Found Property,Closed,5530 S. Ellis (Public Way),2019-04-03,4/3/19 2:21 PM,19-00354,closed
Staff member found a small quantity of cannabis and turned it over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2019-04-03,4/3/19 8:06 PM,19-00355,closed
Underage individual became ill after consuming alcoholic beverages / Transported to UCMED for evaluation and treatment,Liquor Law Violation,Referred,6031 S. Ellis (Granville-Grossman RH),2019-04-04,4/4/19 3:01 AM,19-00356,referred
Individual reported a disagreement with an instructor,Information,Closed,5700 S. Maryland (CCD),2019-04-03,4/4/19 2:58 PM,19-00357,closed
Subject struck staff member with fist / Suspect arrested by UCPD officer,Battery,Arrest,5656 S. Maryland (UCMED),2019-04-04,4/4/19 8:26 PM,19-00358,arrested
Number generated in error,Void,Void,Void,NA,Void,19-00359,void
A set of keys was found in the lower level of the parking structure / Inventoried for safekeeping at UCPD,Found Property,Closed,5505 S. Ellis (Parking Structure),2019-04-04,4/4/19 10:33 PM,19-00360,closed
Report of minor damage to UC owned vehicle,Damage to Property,Closed,850 E. 61st St. (UCPD HQ),2019-04-05,4/5/19 8:21 AM,19-00361,closed
Resident found a bicycle abandoned on their property / Turned over to UCPD for safekeeping,Found Property,Closed,Greenwood between 50th & 51st,2019-04-05,4/5/19 8:50 AM,19-00362,closed
Unknown passenger on bus intentionally spit on driver when ordered to exit the vehicle,Battery,Open,5500 S. University (UC Shuttle Bus),2019-04-04,4/5/19 1:17 PM,19-00363,open
Rear window of car parked in lower level shattered by unknown person,Damage to Property,Open,5505 S. Ellis (Parking Structure),2019-03-05,4/5/19 1:11 PM,19-00364,open
Subject arrested by UCPD for possessing a firearm in a prohibited area,Weapon Incident,Arrest,5700 S. Maryland (CCD),2019-04-05,4/5/19 9:23 PM,19-00365,arrested
Unknown person(s) forced entry to off-campus private apartment and took property / CPD case,Information,CPD,Ellis between 61st and 62nd,2019-04-06,4/6/19 11:34 AM,19-00366,cpd
Subject was arrested by UCPD officer for retail theft from off-campus store,Theft,Arrest,1346 E. 53rd St. (Target),2019-04-06,4/6/19 7:49 PM,19-00367,arrested
Underage individual became ill after consuming alcoholic beverages / Transported to UCMED for evaluation and treatment,Liquor Law Violation,Referred,5500 S. University (Campus North RH),2019-04-07,4/7/19 1:41 AM,19-00368,referred
Underage individual became ill after consuming alcoholic beverages / Transported to UCMED for evaluation and treatment,Liquor Law Violation,Referred,5615 S. University,2019-04-07,4/7/19 2:21 AM,19-00369,referred
Unknown person broke car window and took property,Theft,Open,5840 S. Maryland (Parking Structure),2019-04-06,4/7/19 6:00 AM,19-00370,open
"Subsequent to a traffic crash off campus, one person displayed a handgun / Suspect left before police were called / CPD case JC215349",Information,CPD,6115 S. Drexel,2019-04-07,4/7/19 3:55 PM,19-00371,cpd
Two unauthorized subjects were warned about trespass to the premises,Trespass,Closed,1427 E. 60th St. (Press Building),2019-04-08,4/8/19 11:06 AM,19-00372,closed
Unoccupied UC owned vehicle damaged by unknown person(s),Damage to Property,Open,1551 E. 64th St. (Public Way),2019-04-08,4/8/19 9:27 PM,19-00373,open
Three unauthorized individuals were given trespass warnings,Information,Closed,1111 E. 60th St. (Law School),2019-04-09,4/9/19 12:40 PM,19-00374,closed
Number generated in error,Void,Void,Void,NA,Void,19-00375,void
Individual reports loss of credit card while on campus,Lost Property,Closed,850 E. 61st St. (UCPD HQ),2019-04-09,4/9/19 4:19 PM,19-00376,closed
Staff member found a small quantity of suspect cocaine that was turned over to UCPD for proper disposal,Found Property,Closed,5656 S. Maryland (UCMED),2019-04-10,4/10/19 1:58 AM,19-00377,closed
Staff member reports lost prescription pad,Lost Property,Closed,5758 S. Maryland (DCAM),2019-03-27,4/10/19 9:41 AM,19-00378,closed
Cell phone found on UC Shuttle Bus turned over to UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),2019-04-10,4/10/19 1:26 PM,19-00379,closed
Individual transported to Jackson Park Hospital by CFD EMS for evaluation,Mental Health,Closed,1208 E. 53rd St.,2019-04-10,4/10/19 3:16 PM,19-00380,closed
Coins taken from unlocked car parked in the parking structure,Theft,Open,5505 S. Ellis (Parking Structure),2019-04-10,4/10/19 5:03 PM,19-00381,open
Bicyclist struck the door of a vehicle / Cyclist treated on the scene by CFD EMS / 2019-MVA00078,Traffic Incident,Closed,5850 S. Kimbark,2019-04-10,4/10/19 5:41 PM,19-00382,closed
Reports of shots fired off campus / Damage to front door and windows of private residence / No injuries reported / CPD case JC219696,Information,CPD,Kimbark between 61st & 62nd,2019-04-10,4/10/19 8:45 PM,19-00383,cpd
Disturbed patient struck a staff member / Prosecution declined,Battery,Ex. Cleared,5656 S. Maryland (UCMED),2010-04-11,4/11/19 11:12 AM,19-00384,cleared
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,Various locations on campus,2018-06-01,4/11/19 12:04 PM,CSA Report    19-014,referred
"Three suspects approached victim walking up to his off-campus residence, struck victim with fists before fleeing with a cell phone / All suspects located and arrested by UCPD",Robbery,Arrest,Woodlawn between 48th & 49th,2019-04-11,4/11/19 1:50 PM,19-00385,arrested
Individual suffered a laceration on the forehead while playing softball / Transported by CFD EMS to the UCMED for treatment,Medical,Closed,5823 S. Kenwood (Kovler Gym),2019-04-11,4/11/19 7:40 PM,19-00386,closed
Number generated in error,Void,Void,Void,NA,Void,19-00387,void
Illinois license plate sticker found / Inventoried at UCPD HQ,Found Property,Closed,5454 S. Dorchester,2019-04-04,4/12/19 10:00 AM,19-00388,closed
Laptop taken from an unsecured book bag,Theft,Open,6031 S. Ellis (Granville-Grossman RH),2019-04-10,4/12/19 11:44 AM,19-00389,open
Card holder with Ventra debit card was found and turned over to UCPD for safekeeping,Found Property,Closed,970 E. 58th St. (Bookstore),2019-04-12,4/12/19 12:37 PM,19-00390,closed
Information relating to a posting on a social media site,Information,Closed,850 E. 61st St. (UCPD HQ),2019-03-30,4/12/19 5:40 PM,19-00391,closed
Number generated in error,Void,Void,Void,2019-03-30,Void,19-00392,void
Individual found cell phone on UC shuttle bus and turned it over to UCPD for safekeeping,Found Property,Closed,5400 S. Dorchester,2019-04-12,4/12/19 2:30 PM,19-00393,closed
Suspect found with a small amount of marijuana / Substance confiscated for proper disposal,Possession of Narcotics,Closed,5505 S. Ellis (Parking Structure),2019-04-12,4/12/19 10:34 PM,19-00394,closed
Wallet found and inventoried for safekeeping at UCPD HQ,Found Property,Closed,5640 S. University (Bartlett Commons),2019-04-12,4/12/19 3:51 PM,19-00395,closed
"Unknown suspect, implied a weapon, no weapon seen, and took an iPhone and wallet from a victim walking on the sidewalk off campus / CPD report JC222567",Information,CPD,5422 S. University (Public Way),2019-04-13,4/13/19 12:24 AM,19-00396,cpd
Sick person transported to the UCMED by CFD EMS for evaluation and treatment,Medical,Closed,1200 E. Midway Pl. (Uber Vehicle),2019-04-13,4/13/19 12:38 AM,19-00397,closed
Handgun found at the base of a tree on park property / Inventoried at UCPD,Found Property,Closed,1427 E. Midway Pl.,2019-04-13,4/13/19 9:14 AM,19-00398,closed
Person reported missing from another jurisdiction was located / Transported to UCMED by CFD EMS for evaluation,Found Property,Closed,1427 E. 60th St. (Public Way),2019-04-13,4/13/19 9:08 PM,19-00399,closed
UCPD officer detained a suspect who was turned over to CPD for investigation,Assist Other Agency,CPD,5550 S. Payne Dr.,2019-04-13,4/13/19 10:27 PM,19-00400,cpd
An individual walking in the basement struck an overhead pipe with his head causing laceration / Treated by CFD EMS / Declined additional medical treatment,Injury,Closed,1005 E. 60th St. (Burton-Judson RH),2019-04-13,4/13/19 11:28 PM,19-00401,closed
