Comments,Date,Disposition,Location,Occured,Reported,UCPDI
Two suspects entered delivery person's unlocked vehicle with keys in the ignition and drove off / UCPD officers arrested one suspect after the vehicle crashed at 1130 E. 59th St. / Suspect also charged with unlawful possession of a firearm,Theft of Motor Vehicle,Arrest,5724 S. Kenwood (Public Way),11/12/20 9:05 PM,11/12/20 9:08 PM,20-00686
UCPD officers detained a suspect driving a vehicle taken in a vehicular hijacking from outside of the UCPD patrol area / Suspect and vehicle turned over to CPD / CPD case JD429538,Assist Other Agency,CPD,1370 E. 59th St.,11/12/20 9:08 PM,11/12/20 9:08 PM,20-00687
UCM Staff member found suspect narcotics among patient's property / Substance turned over to UCPD for proper disposal,Found Property,Closed,5656 S. Maryland (UCMED),11/13/20 4:09 AM,11/13/20 4:09 AM,20-00688
Unauthorized person found sleeping in building lobby was given a trespass warning,Information,Closed,1313 E. 60th St. (Chapin Hall),11/13/20 7:13 AM,11/13/20 7:13 AM,20-00689
Person reported missing to CPD was found by UCPD officer and returned to family / CPD case JD429014,Found Person,Closed,5400 S. Shore Dr. (Park Property),11/13/20 9:31 AM,11/13/20 9:31 AM,20-00690
Unattended car parked on the street with motor running was taken by unknown person / Referred to CPD,Information / Theft of Motor Vehicle,Referred,5254 S. Dorchester,11/13/20 8:30 PM,11/13/20 8:41 PM,2020-058912
Sick person escorted home by CFD EMS,Medical Call,Closed,5701 S. Woodlawn (Public Way),11/14/20 1:02 AM,11/14/20 1:02 AM,20-00691
Unknown person smashed window in vestibule door in off-campus private apartment building / Referred to CPD,Information / Criminal Damage to Property,Referred,Harper between 54th & 55th,11/14/20 2:30 AM,11/14/20 2:32 AM,2020-058943
Sick person escorted to UCMED for evaluation and treatment,Medical Call,Closed,1009 E. 57th St. (Hitchcock Hall),11/15/20 12:22 AM,11/15/20 12:22 AM,20-00692
Person transported to UCMED for evaluation,Mental Health Transport,Closed,5481 S. Ellis (Public Way),11/15/20 10:15 AM,11/15/20 10:15 AM,20-00693
Mother hit daughter in face with her fist / Arrested by UCPD,Domestic Battery,Arrest,Cottage Grove between 53rd & 54th,11/15/20 2:25 PM,11/15/20 2:27 PM,20-00694
During the course of a domestic argument girlfriend struck boyfriend in the face / Suspect arrested by UCPD,Domestic Battery,Arrest,5730 S. Drexel (Comer Hospital),11/16/20 12:08 PM,11/16/20 12:14 PM,20-00695
UCPD officers assisted CPD officers in taking 2 suspects into custody for a carjacking that occurred outside of UCPD patrol area / CPD case JD426888,Assist Other Agency,CPD,5300 S. Dorchester (Public Way),11/16/20 1:24 PM,11/16/20 1:24 PM,20-00696
Unknown suspect smashed window of unoccupied van off-campus / Referred to CPD,Information / Criminal Damage to Vehicle,Referred,5100 S. Blackstone (Parking Lot),11/16/20 1:30 PM,11/16/20 1:33 PM,2020-059320
Two motorists involved in a dispute regarding parking / Peace restored,Information,Closed,5656 S. Maryland (Public Way),11/16/20 3:43 PM,11/16/20 3:43 PM,20-00697
Secured bicycle taken from rear area of off-campus private apartment building / Referred to CPD,Information / Theft,Referred,1321 E. 57th St. (Rear Yard),11/4/20 to 11/6/20  11:55 PM to 8:00 PM,11/16/20 4:38 PM,2020-059348
Unknown person(s) fired several shots on the street off-campus / No injuries or property damage reported / CPD case JD433235,Information / Reckless Discharge of a Weapon,CPD,5000 S. Cornell (Public Way),11/16/20 5:21 PM,11/16/20 5:21 PM,2020-059352
Report generated in error,Void,Void,Void,Void,Void,20-00698
Unknown person(s) shattered windshield of car parked on the street,Criminal Damage to Vehicle,Open,802 E. 56th St. (Public Way),11/16/20 to 11/17/20 6:00 PM to 7:00 AM,11/17/20 7:34 AM,20-00699
Illinois driver's license and ID card found / Turned over to UCPD for safekeeping,Found Property,Closed,5500 S. University (Campus North RH),11/17/20 7:41 AM,11/17/20 7:41 AM,20-00700
Known suspect took merchandise from the off-campus store without paying / Referred to CPD,Information / Theft,Referred,1009 E. 53rd St. (Store),11/17/20 10:00 AM,11/17/20 10:18 AM,2020-059442
Driver's license found and turned over to UCPD / Owner notified / Held for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),11/17/20 12:35 PM,11/17/20 12:35 PM,20-00701
"Two suspects, one armed with a handgun, demanded property from two victim's walking on the sidewalk off-campus / Victims resisted and fled / Referred to CPD",Information / Attempt Armed Robbery,Referred,1404 E. 54th Pl. (Public Way),11/17/20 8:10 PM,11/17/20 8:30 PM,2020-059519
Motorist involved in a hit & run traffic crash and fled on foot was arrested by CPD officers / CPD case JD434827,Information / Traffic Crash / Hit & Run,CPD,6100 S. Drexel,11/18/20 12:36 PM,11/18/20 12:36 PM,2020-059615
Unauthorized subject arrested by UCPD for trespass after refusing several orders to leave,Criminal Trespass to Land,Arrest,5656 S. Maryland (UCMED),11/18/20 12:25 PM,11/18/20 12:28 PM,20-00702
Two unknown suspects forcibly took an iPhone from a person walking on the sidewalk off-campus / Suspects ran to a waiting vehicle / CPD case JD434947,Information / Robbery,CPD,5525 S. Woodlawn (Public Way),11/18/20 2:40 PM,11/18/20 2:43 PM,2020-059629
"Two unknown suspects, one armed with a handgun, took victim's 2012 Subaru / CPD case JD435105",Information / Aggravated Vehicular Hijacking,CPD,5609 S. Woodlawn (Public Way),11/18/20 5:20 PM,11/18/20 5:22 PM,2020-059651
Number generated in error,Void,Void,Void,Void,Void,20-00703
Unknown suspect attempted to take delivery person's car / Suspect fled to waiting vehicle / CPD case JD435182,Information / Attempt Vehicular Hijacking,CPD,5400 S. Hyde Park (Public Way),11/18/20 6:20 PM,11/18/20 6:23 PM,2020-059660
Suspect took family member's car without permission and struck two parked cars / Victim declined prosecution,Motor Vehicle Theft,Ex. Cleared,5100 S. Harper,11/18/20 5:30 PM,11/18/20 5:36 PM,20-00704
UC owned vehicle damaged in traffic crash / Property damage only,Traffic Crash,Closed,5501 S. Cottage Grove,11/18/20 9:03 PM,11/18/20 9:03 PM,20-00705
Person transported to UCMED for evaluation,Mental Health Transport,Closed,1005 E. 60th St. (Burton -Judson RH),11/18/20 11:33 PM,11/18/20 11:33 PM,20-00706
Unknown person broke window in vestibule door and took packages from off-campus building / CPD case JD435433,Information / Theft,CPD,Blackstone between 57th& 58th,11/19/20 1:30 AM,11/19/20 9:18 AM,2020-059739
Graffiti spray painted onto shipping/receiving dock wall,Criminal Damage to Property,Open,5840 S. Kenwood (Lab School),11/19/20 to 11/20/20  4:00 PM to 7:30 AM,11/20/20 7:56 AM,20-00707
Victim walking off-campus was hit from behind by unknown suspect who took cash and fled / CPD case JD436532,Information / Robbery,CPD,5500 S. Woodlawn (Public Way),11/20/20 7:30 AM,11/20/20 7:58 AM,2020-059889
Unknown person broke glass in door of private off-campus building with a brick / Referred to CPD,Information  / Criminal Damage to Property,CPD,University between 55th & 56th,11/19/20 to 11/20/20 6:00 PM to 8:40 AM,11/20/20 8:55 AM,2020-059896
Contract employee became upset after being discharged / Left building before police were called,Information,Closed,950 E. 61st St. (Woodlawn Social Services),11/20/20 1:30 PM,11/20/20 1:33 PM,20-00708
Unknown person smashed window of car parked in lot off-campus and took property / Referred to CPD,Information / Theft from Motor Vehicle,Referred,Harper between 56th & 57th,11/20/20 2:00 PM to 3:30 PM,11/20/20 3:52 PM,2020-059951
Person reported being victimized in telephone fraud scheme / Referred to CPD,Information / Deceptive Practice,Referred,East End between 50th & 51st,11/20/20 1:35 PM,11/20/20 5:06 PM,2020-059958
Sick person transported to UCMED by CFD EMS,Medical Call,Closed,1414 E. 59th St. (I-House),11/20/20 8:19 PM,11/20/20 8:19 PM,20-00709
Sick person transported to UCMED by CFD EMS,Medical Call,Closed,1005 E. 60th St. (Burton-Judson RH),11/20/20 8:39 PM,11/20/20 8:39 PM,20-00710
Individuals found on roof of Ryerson Hall / Escorted from the building,Information,Closed,1100 E. 58th St. (Ryerson Hall),11/21/20 12:17 AM,11/21/20 12:17 AM,20-00711
"Two Uber passengers, one armed with a handgun, took cell phone from driver off-campus and fled on foot / CPD case JD437513",Information / Armed Robbery,CPD,1364 E. 48th St. (Public Way),11/21/20 5:00 AM,11/21/20 5:21 AM,2020-060022
Individual transported to UCMED for evaluation,Mental Health Transport,Closed,6300 S. Dorchester (Parking Lot),11/21/20 9:01 AM,11/21/20 9:01 AM,20-00712
Report of lost wallet,Lost Property,Closed,5500 S. University (Campus North RH),9/28/20 to 9/30/20 9:30 PM to 10:00 AM,11/21/20 12:13 PM,20-00713
Suspect forcibly took cash from a person walking in the alley off-campus before fleeing on foot / Referred to CPD,Information / Robbery,Referred,5337 S. Ellis (Alley),11/21/20 3:40 PM,11/21/20 3:54 PM,2020-060063
UCPD officers detained a subject for smashing window in Metra Station / Subject turned over to Metra PD,Assist Other Agency,Metra PD,1520 E. 57th St. (Metra Station),11/21/20 4:55 PM,11/21/20 4:55 PM,20-00714
Unknown person damaged front vestibule door of off-campus private apartment building / Referred to CPD,Information / Criminal Damage to Property,Referred,Kenwood between 57th & 58th,11/21/20 11:30 PM,11/21/20 11:44 PM,2020-060104
"Subsequent to a traffic stop, UCPD officer arrested a motorist for an outstanding warrant from Cook County",Warrant Arrest,Arrest,5500 S. Woodlawn (Public Way),11/22/20 12:49 PM,11/22/20 12:49 PM,20-00715
Number generated in error,Void,Void,Void,Void,Void,20-00716
Report of damage to UC owned vehicle,Information,Closed,850 E. 61st St. (UCPD HQ),11/18/20 to 11/20/20 6:30 PM to 8:15 AM,11/23/20 4:22 PM,20-00717
Unknown person fired several shots hitting and causing damage to a vehicle parked in the lot / CPD case JD440079,Information / Unlawful Discharge of Weapon,CPD,1554 E. 55th St. (Parking Lot),11/23/20 10:17 PM,11/23/20 10:17 PM,2020-060365
Unknown suspect made forcible entry to the off-campus store and took merchandise / CPD case,Information / Burglary,CPD,5230 S. Lake Park (Villa),11/24/20 5:00 AM,11/24/20 5:17 AM,2020-060390
Set of keys found in UCPD vehicle / Held for safekeeping,Found Property,Closed,850 E. 61st St (UCPD HQ),11/24/20 12:44 PM,11/24/20 12:44 PM,20-00718
Two unknown suspects took merchandise from off-campus store and fled without paying / Referred to CPD,Information / Theft,Referred,1346 E. 53rd St. (Target),11/24/20 4:50 PM,11/24/20 4:55 PM,2020-060488
Unknown person(s) took victim's 2017 Dodge Durango that was parked on the street off-campus / Referred to CPD,Information / Motor Vehicle Theft,Referred,5225 S. Cottage Grove (Public Way),11/24/20 11:00 AM to 6:25 PM,11/24/20 6:27 PM,2020-060495
Unoccupied vehicle left running was taken by unknown person / Vehicle recovered at 5400 S. Hyde Park with front end damage / CPD case,Information / Motor Vehicle Theft & Recovery,CPD,5100 S. Lake Park (Public Way),11/24/20 11:00 PM,11/24/20 11:26 PM,2020-060526
Keys lost on UC shuttle bus found / Owner notified,Found Keys,Closed,850 E. 61st St. (UCPD HQ),11/16/20 12:38 PM,11/16/20 12:38 PM,20-00719
UC owned vehicle involved in minor traffic crash / No injuries or damage reported,Traffic Crash,Closed,5330 S. Kimbark,11/25/20 12:50 PM,11/25/20 12:50 PM,20-00720
Unattended cell phone taken from public area of off-campus private apartment building / Referred to CPD,Information / Theft,Referred,Blackstone between 58th & 59th,11/25/20 3:00 PM,11/25/20 4:38 PM,2020-060648
"Two unknown suspects, one armed with a handgun, confronted victim walking on the sidewalk off-campus / Suspects took victim's phone, watch, car keys, and victim's parked vehicle / CPD case JD442603",Information / Armed Robbery,CPD,5742 S. Stony Island (Public Way),11/26/20 6:30 PM,11/26/20 6:53 PM,2020-060752
A person reported being sexually assaulted in the hallway of an off-campus private apartment building by a person armed with a handgun / CPD case JD443354,Information / Criminal Sexual Assault,CPD,Ellis between 61st & 62nd,11/27/20 4:30 PM,11/27/20 4:33 PM,2020-060854
Unknown person shattered window and sideview mirror of car parked on the street,Criminal Damage to Vehicle,Open,930 E. 56th St. (Public Way),11/27/20 6:40 AM to 7:20 PM,11/27/20 7:22 PM,20-00721
Two credit cards found on the sidewalk turned over to UCPD for safekeeping,Found Property,Closed,6000 S. Woodlawn (Public Way),11/28/20 10:10 AM,11/28/20 10:10 AM,20-00722
Person sub-leasing an apartment in off-campus private building took victim's property / Referred to CPD,Information / Theft,Referred,Kimbark between 52nd & 53rd,6/1/20 to 10/1/20 time unknown,11/28/20 2:34 PM,2020-060977
Unknown person took vehicle parked on the street off-campus with the motor running / CPD case,Information / Motor Vehicle Theft,CPD,5225 S. Dorchester (Public Way),11/28/20 2:55 PM,11/28/20 3:16 PM,2020-060982
Unknown person took items from packages delivered to porch of off-campus private apartment building / Referred to CPD,Information / Theft,Referred,Ingleside between 54th & 55th,11/28/20 12:00 PM to 3:00 PM,11/29/20 12:43 AM,2020-061039
UCPD officers arrested subject that had battered girlfriend,Domestic Battery,Arrest,Drexel between 65th & 66th,11/29/20 2:30 AM,11/29/20 3:12 AM,20-00723
Merchant reported suspect took items of food from the store and fled without paying / Referred to CPD,Information / Theft,Referred,1009 E. 53rd St. (Food Store),11/29/20 10:00 AM,11/29/20 10:18 AM,2020-061080
Unknown suspect forcibly attempted to take cell phone from victim in vestibule of off-campus private apartment building / Referred to CPD,Information / Attempt Robbery,Referred,Woodlawn between 62nd & 63rd,11/29/20 3:00 PM,11/29/20 3:00 PM,2020-061107
Person reported a dispute and disturbance with a neighbor in off-campus private apartment building / Referred to CPD,Information,Referred,850 E. 61st St. (UCPD HQ),11/30/20 10:13 AM,11/30/20 10:13 AM,2020-061214
UCPD officer found marijuana in motorist's vehicle subsequent to a traffic stop / Substance inventoried for proper disposal,Found Narcotics,Closed,800 E. Midway Pl.,11/30/20 12:16 PM,11/30/20 12:16 PM,20-00724
Person reported being the victim of a telephone scam off-campus / Referred to CPD,Information / Deceptive Practice,Referred,52nd between Ingleside and Greenwood,11/30/20 3:57 PM,11/30/20 3:57 PM,2020-061256
Person reported losing wallet,Lost Property,Closed,Between 50th & East End and 929 E. 57th St.,11/30/20 2:30 PM to 3:00 PM,11/30/20 4:18 PM,20-00725
Debit card found on the sidewalk turned over to UCPD for safekeeping,Found Property,Closed,6000 S. Dorchester (Public Way),11/30/20 4:15 PM,11/30/20 4:23 PM,20-00726
Person suffered gunshot wound to the neck in drive by shooting off-campus / CPD case,Information / Aggravated Battery,CPD,1016 E. 62nd St. (Public Way),11/30/20 6:55 PM,11/30/20 6:56 PM,2020-061279
UCPD officers assisted CPD by applying first aid to wounded victim (See above 2020-061279) prior to CFD EMS arrival,Assist Other Agency,Closed,1016 E. 62nd St. (Public Way),11/30/20 6:55 PM,11/30/20 6:56 PM,20-00728
Patient attempted to leave hospital against medical advise / Peace restored,Information,Closed,5840 S. Maryland (Parking Structure),11/30/20 8:00 PM,11/30/20 8:26 PM,20-00727
Identified person was seen taking staff members jacket from registration desk area,Theft,Open,5656 S. Maryland (UCMED),12/1/20 4:40 AM to 7:00 AM,12/1/20 7:56 AM,20-00729
UCPD officer arrested a motorist for driving a vehicle while the registration is suspended,Traffic Arrest,Arrest,5500 S. Ellis,12/1/20 1:21 PM,12/1/20 1:21 PM,20-00730
Delayed report - A person walking on the Midway was pushed from behind by an unknown suspect who forcibly took the victim's wallet,Robbery,Open,850 E. Midway Pl.,11/29/20 11:00 PM,12/1/20 8:44 PM,20-00731
A visitor struck a UCM staff member  / Suspect arrested by UCPD,Battery,Arrest,5815 S. Maryland (Mitchell Hospital),12/2/20 8:25 AM,12/2/20 8:27 AM,20-00732
"Uber driver dropped off passenger who displayed a handgun and took victim's phone / Suspect tried to take vehicle, but victim drove off / Suspect fired shots and struck vehicle / CPD case JD447776",Information / Armed Robbery,CPD,1158 E. 47th St. (Gas Station),12/2/20 4:35 PM,12/2/20 4:37 PM,2020-061545
Victim suffered gunshot wound to the back during the course of an argument with an acquaintance in off-campus apartment / Self-transported to UCMED / CPD case JD448082,Information / Aggravated Battery,CPD,Kimbark between 61st & 62nd,12/2/20 10:35 PM,12/2/20 10:36 PM,2020-061592
Two UC owned vehicles involved in minor traffic crash / No injuries reported,Traffic Crash,Closed,1374 E. 53rd St.,12/3/20 5:39 AM,12/3/20 5:39 AM,20-00733
Resident reported a suspicious person was observed on their property off-campus / Referred to CPD,Information / Suspicious Person,Referred,Kimbark between 62nd & 63rd,12/3/20 12:05 AM,12/3/20 9:59 AM,2020-061657
Person reported an unknown person rummaged through their vehicle off-campus / Referred to CPD,Information / Trespass to Vehicle,Referred,Ellis between 61st & 62nd,12/2/20 to 12/3/20 10:00 PM to 8:00 AM,12/3/20 10:35 AM,2020-061663
Boyfriend took debit card from victim's purse and fled / Suspect located and arrested by UCPD,Theft,Arrest,5721 S. Maryland (Comer Hospital),12/3/20 2:30 PM,12/3/20 2:36 PM,20-00734
"A person walking on the sidewalk off-campus was struck on the forehead, without provocation, by an unknown subject / Victim declined medical attention / Referred to CPD",Information / Battery,Referred,1547 E. 57th St. (Public Way),12/3/20 3:50 PM,12/3/20 3:58 PM,2020-061717
Person transported to UCMED for evaluation,Mental Health Transport,Closed,1547 E. 57th St. (Public Way),12/3/20 3:59 PM,12/3/20 3:59 PM,20-00735
Bicycle secured to patio gate at off-campus building was taken / Referred to CPD,Information / Theft,Referred,Kimbark between 61st & 62nd,12/1/20 to 12/2/20 10:00 PM to 7:00 AM,12/4/20 8:49 AM,2020-061806
Unknown subject displayed a handgun tucked in waistband / No threats made / CPD case JD449620,Information / Assault,CPD,5300 S. Dorchester (Public Way),12/4/20 4:30 PM,12/4/20 4:33 PM,2020-061859
Person reported their identity was used to file a fraudulent unemployment security claim / Notification to IDES,Information / Deceptive Practice,Closed,5812 S. Ellis,12/4/20 12:00 PM,12/4/20 4:39 PM,20-00737
"UCPD officers acting upon information from a citizen, arrested a subject that had illegal possession of a handgun / Weapon recovered",Weapon Arrest,Arrest,1554 E. 55th St. (Public Way),12/4/20 9:32 PM,12/4/20 9:32 PM,20-00738
Subject took merchandise from the off- campus store without paying / CPD case,Information / Theft,CPD,1009 E. 53rd St. (Store),12/5/20 2:15 PM,12/5/20 4:32 PM,2020-061780
Unknown subject took merchandise from off-campus store without paying / Referred to CPD,Information / Theft,Referred,1554 E. 55th St. (Walgreens),12/6/20 7:00 AM,12/6/20 7:05 AM,2020-062043
Financial identity fraud reported,Deceptive Practice (Financial Identity Theft),Open,5525 S. Ellis (Maroon Financial),0/10/20 to 12/2/20,12/7/20 9:47 AM,20-00739
Wallet found and inventoried at UCPD for safekeeping,Found Property,Closed,57th & Maryland (Public Way),12/7/20 9:40 AM,12/7/20 9:43 AM,20-00740
Secured bicycle taken from off-campus private apartment building / CPD case,Information / Theft,CPD,Blackstone between 55th & 56th,12/5/20 to 12/7/20 8:00 PM to 8:00 AM,12/7/20 1:15 PM,2020-062197
Bicycle found on the public way inventoried at UCPD for safekeeping,Found Property,Closed,6226 S. Cottage Grove (Public Way),12/7/20 3:00 PM,12/7/20 3:00 PM,20-00741
Package containing a laptop taken from the loading dock,Theft,Open,929 E. 57th St. (Gordon Center),10/5/20 to 12/5/20 1:00 PM to 1:10 PM,12/7/20 2:56 PM,20-00742
Package taken from front porch of off-campus residence / CPD case JD451900,Information / Theft,CPD,Blackstone between 57th & 58th,12/4/20 5:55 PM,12/7/20 3:02 PM,2020-062218
Package taken from front porch of apartment building,Theft,Open,6057 S. Drexel (Campus Apartments),12/7/20 3:00 PM to 4:25 PM,12/7/20 4:27 PM,20-00743
Individual reported wallet lost somewhere on campus,Lost Property,Closed,6031 S. Ellis (Granville-Grossman RH),12/7/20 12:30 PM,12/7/20 4:25 PM,20-00744
Unknown person used staff member's DEA number in an effort to procure drugs / DEA notified,Deceptive Practice,DEA,5721 S. Maryland,12/3/20 9:30 AM,12/7/20 7:26 PM,20-00745
Wallet found on the public way inventoried at UCPD for safekeeping,Found Property,Closed,6000 S University,12/8/20 9:23 PM,12/8/20 9:23 PM,20-00746
Cash and jewelry taken from patient's property,Theft,Open,5656 S. Maryland (UCMED),12/2/20 10:00 PM to 11:30 PM,12/9/20 10:06 PM,20-00747
Wallet found on public way was inventoried at UCPD for safekeeping,Found Property,Closed,1414 E. 59th St. (Public Way),12/10/20 7:45 AM,12/10/20 7:45 AM,20-00748
Water dispenser taken from break room,Theft,Open,950 E. 59th St. (Peck Pavilion),11/20/20 to 12/1/20 11:00 AM to 10:00 AM,12/10/20 11:31 AM,20-00749
Two unknown suspects took property from a person walking on the sidewalk off-campus / Suspects fled to a waiting vehicle / CPD case JD455688,Information / Robbery,CPD,5200 S. Blackstone (Public Way),12/10/20 10:40 PM,12/10/20 10:43 PM,2020-062684
Motorist struck a pole in front of hospital / Property damage only,Damage to Property,Closed,5721 S. Maryland (Comer Hospital),12/12/20 2:20 AM,12/12/20 2:27 AM,20-00750
Expired passport found on the sidewalk / Owner notified,Found Property,Closed,6140 S. Ellis (Public Way),12/12/20 10:40 AM,12/12/20 10:40 AM,20-00751
A victim sitting in a vehicle parked on the street off-campus suffered a gunshot wound when several unknown suspects fired shots at the car / Acquaintance transported victim to UCMED for treatment / CPD case JD457572,Information / Aggravated Battery,CPD,1019 E. 47th St. (Public Way),12/12/20 9:49 PM,12/12/20 9:49 PM,2020-062979
During the course of a domestic argument boyfriend pushed girlfriend / Suspect arrested by UCPD officers,Domestic Battery,Arrest,5815 S. Maryland (Mitchell Hospital),12/13/20 10:30 AM,12/13/20 10:34 AM,20-00752
During a phone conversation a known subject threatened UCM staff members,Information,Closed,5721 S. Maryland (Comer Hospital),12/13/20 9:20 AM,12/13/20 10:36 AM,20-00753
Unattended book bag left on the sidewalk off-campus was taken by unknown person  Referred to CPD,Information / Theft,Referred,5500 S. Woodlawn (Public Way),12/13/20 4:45 PM to 5:20 PM,12/13/20 5:34 PM,2020-063088
Patient reports losing jewelry while in hospital,Lost Property,Closed,5656 S. Maryland (UCMED),12/14/20 6:00 AM to 1:30 PM,12/14/20 3:40 PM,20-00754
"Unattended, unsecured iPhone taken from patient's room",Theft,Open,5700 S. Maryland (CCD),12/13/20 to 12/14/20 7:30 PM to 11:00 AM,12/14/20 6:58 PM,20-00755
A person walking on the sidewalk off-campus was approached by an unknown suspect armed with a knife who demanded the victim's property / The victim resisted and the suspect fled with the victim's eyeglasses / Referred to CPD,Information / Armed Robbery,CPD,6137 S. Ingleside,12/15/20 8:38 AM,12/15/20 8:39 AM,2020-063299
Bicycle taken from off-campus residential garage / CPD case,Information / Theft,CPD,Kenwood between 55th & 56th,12/15/20 12:30 AM,12/15/20 8:15 PM,2020-063377
Person left car parked with engine running while making a delivery off-campus / Unknown suspect drove off in victim's 2013 Chevy Cruze / CPD case,Information / Motor Vehicle Theft,CPD,5142 S. Ingleside,12/16/20 4:55 PM,12/16/20 5:00 PM,2020-063531
Glass partition in first floor lobby shattered / Cause unknown,Damage to Property,Closed,6054 S. Drexel (Office Building),12/17/20 6:50 PM,12/17/20 6:56 PM,20-00756
Suspect took merchandise from off-campus store and was detained by UCPD officer / Management declined prosecution / Suspect released,Theft,Ex. Cleared,1554 E. 55th St. (Walgreens),12/18/20 9:50 AM,12/18/20 9:58 AM,20-00757
"Family dog taken from yard, later returned / CPD case",Information / Theft,CPD,49th St. between Drexel & Ellis,12/18/20 11:30 AM to 12:30 PM,12/18/20 1:24 PM,2020-063803
"Delayed Report - Two unknown suspects, both armed with knives, took property from victim walking through off-campus city park / Referred to CPD",Information / Armed Robbery,Referred,1330 E. 50th St. (City Park),12/2/20 3:00 AM,12/18/20 3:56 PM,2020-063825
Food delivery person left car unlocked with motor running / Car taken by unknown suspect,Motor Vehicle Theft,Open,1056 E. 57th St. (Public Way),12/18/20 4:35 PM,12/18/20 4:39 PM,20-00758
"During a disagreement, one tenant struck another with fists / delayed report to CPD JD462903",Information / Battery,CPD,South Shore Dr. between 54th & 55th,12/18/20 11:50 AM,12/18/20 4:54 PM,2020-063833
Report of a disorderly patient / Peace restored,Information,Closed,5656 S. Maryland (UCMED),12/19/20 7:55 AM,12/19/20 7:55 AM,20-00759
UCPD officer recovered an unoccupied vehicle parked on the street that had been reported stolen to CPD / CPD case JD460972,Recovered Motor Vehicle,Closed,4949 S. Kimbark (Public Way),12/19/20 8:57 AM,12/19/20 8:57 AM,20-00760
Two unknown suspects used force to take a wallet from a person sitting in a vehicle parked on the street,Robbery,Open,1107 E. 61st St. (Public Way),12/19/20 9:05 PM,12/19/20 9:07 PM,20-00761
A person fell while walking on the sidewalk / Transported to UCMED by CFD EMS for treatment,Medical Call,Closed,1501 E. 53rd St. (Public Way),12/19/20 10:20 PM,12/19/20 10:20 PM,20-00762
Patient lost wallet while in the hospital,Lost Property,Closed,5700 S. Maryland (CCD),12/18/20 to 12/19/20 12:00 PM to 10:00 AM,12/20/20 10:57 AM,20-00763
During the course of a domestic argument in off-campus private apartment ex-boyfriend struck victim / CPD case JD464488,Information / Domestic Battery,CPD,Hyde Park between 55th & 56th,12/19/20 9:00 PM,12/20/20 1:07 PM,2020-064051
Bicycle taken from garage of off-campus private residence / Referred to CPD,Information / Theft,Referred,Cornell between 48th & 49th,12/18/20 to 12/20/20 12:00 PM to 1:00 PM,12/20/20 1:55 PM,2020-064053
Person complained that known subject continually comes to victim's off-campus private residence and harasses family / Referred to CPD,Information / Harassment,Referred,56th St. between Blackstone and Harper,12/20/20 4:47 PM,12/20/20 4:47 PM,2020-064073
A person filed a report with CPD regarding a battery / touching by a staff member during a medical procedure / CPD case JD461769,Information / Battery,CPD,5841 S. Maryland (UCMC),12/11/20 7:40 AM,12/20/20 7:17 PM,2020-064084
Found cell phone turned over to UCPD for safekeeping,Found Property,Closed,1115 E. 58th St. (Main Quad),12/22/20 8:15 AM,12/22/20 2:14 PM,20-00764
"Subsequent to a dispute, subject broke sideview mirrors on girlfriend's parked vehicle / Victim declined to prosecute",Criminal Damage to Vehicle,Ex. Cleared,5721 S. Maryland (Public Way),12/22/20 10:50 PM,12/22/20 10:52 PM,20-00765
Glass from broken window fell from upper floor / Area secured / No injuries reported,Property Damage,Closed,900 E. 57th St. (Knapp Center),12/23/20 1:55 PM,12/23/20 1:55 PM,20-00766
Ex-boyfriend made physical contact with victim during the course of an argument in off-campus store / CPD case JD467934,Information / Domestic Battery,CPD,5300 S. Dorchester (Store),12/23/20 7:40 PM,12/23/20 7:44 PM,2020-064537
A person sitting in a car parked off-campus at 6233 South Cottage Grove suffered a gun shot wound to the foot when unknown person(s) fired a weapon / CPD case JD470308,Information / Aggravated Battery,CPD,6233 S. Cottage Grove (Public Way),12/26/20 9:20 PM,12/26/20 9:22 PM,2020-064891
Unknown person took vehicle parked on the street off-campus / CPD case JD471740,Information / Theft of Motor Vehicle,CPD,1234 E. 56th St. (Public Way),12/28/20 1:35 PM,12/28/20 3:45 PM,2020-065094
Two unknown suspects forcibly took an iPhone and wallet from a person walking on the sidewalk off-campus / CPD case,Information / Robbery,CPD,930 E. 62nd St. (Public Way),12/28/20 6:00 PM,12/28/20 6:10 PM,2020-065112
Suspect in previous retail thefts ran from and resisted police / Arrested by UCPD,Obstructing Police / Reckless Conduct,Arrest,1346 E. 53rd St.,12/29/20 8:40 AM,12/29/20 8:40 AM,20-00767
UCPD officer found a loaded handgun magazine / Inventoried at UCPD,Found Property,Closed,6400 S. Minerva,12/29/20 2:51 PM,12/29/20 2:51 PM,20-00768
An ID card and a debit card found on UC shuttle buses inventoried for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),12/29/20 4:44 PM,12/29/20 4:44 PM,20-00769
Disorderly subject being escorted from the hospital battered two Public Safety officers / Arrested by UCPD and charged with felony,Battery,Arrest,5700 S. Maryland (CCD),12/30/20 1:10 PM,12/30/20 1:13 PM,20-00770
Patient reports wallet lost while in the hospital,Lost Property,Closed,5815 S. Maryland (Mitchell Hospital),12/19/20 to 12/20/20 10:00 AM to 4:00 PM,12/30/20 2:55 PM,20-00771
